"Claim Number","Date Received","Incident Date","Airport Code","Airport Name","Airline Name","Claim Type","Claim Site","Item Category","Close Amount","Disposition"
2014022111870,2014-02-11,2014-01-07 11:00:00,"EWR","Newark International Airport","UAL","Property Damage","Checked Baggage","Household Items",0,"Deny"
2014022111871,2014-02-19,2014-01-13 07:00:00,"BDL","Bradley International Airport","Jet Blue","Property Damage","Checked Baggage","Other",233.23,"Approve in Full"
2014022111872,2014-02-16,2013-12-10 00:00:00,"MCO","Orlando International Airport","Aer Lingus","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",0,"Deny"
2014022111873,2014-02-14,2014-02-01 00:00:00,"PHL","Philadelphia International Airport","Southwest Airlines","Property Damage","Checkpoint","Personal Electronics",149.75,"Settle"
2014022111874,2014-02-19,2014-01-31 14:00:00,"LIH","Lihue Airport","UAL","Passenger Property Loss","Checked Baggage","Travel Accessories",9.99,"Approve in Full"
2014022111875,2014-02-14,2013-12-17 00:00:00,"LAX","Los Angeles International Airport","Lufthansa","Passenger Property Loss","Checked Baggage","Clothing; Personal Electronics",0,"Deny"
2014022111876,2014-02-19,2014-01-26 12:15:00,"DAB","Daytona Beach International","USAir","Property Damage","Checked Baggage","Clothing",100,"Approve in Full"
2014022111877,2014-02-12,2014-02-04 19:40:00,"MDW","Midway International Airport","Southwest Airlines","Property Damage","Checked Baggage","Clothing",229.39,"Approve in Full"
2014022111878,2014-02-19,2014-01-22 06:00:00,"BUF","Buffalo Niagara International","Delta Air Lines","Passenger Property Loss","Checked Baggage","Cameras",NA,"-"
2014022111879,2014-02-19,2014-02-05 00:00:00,"JFK","John F. Kennedy International","American Airlines","Passenger Property Loss","Checkpoint","Personal Electronics",0,"Deny"
2014022111880,2014-02-17,2014-01-16 00:00:00,"MIA","Miami International Airport","Iberia Airlines","Passenger Property Loss","Checked Baggage","Cameras",83.39,"Approve in Full"
2014022111881,2014-02-19,2013-12-22 13:30:00,"JFK","John F. Kennedy International","Jet Blue","Passenger Property Loss","Checked Baggage","Travel Accessories",33,"Approve in Full"
2014022111882,2014-02-19,2014-02-15 00:00:00,"CMH","Port Columbus International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",0,"Deny"
2014022111883,2014-02-16,2014-02-15 00:00:00,"EWR","Newark International Airport","UAL","Passenger Property Loss","Checked Baggage","Personal Electronics",438.17,"Settle"
2014022111884,2014-02-17,2014-02-16 10:00:00,"FLL","Ft. Lauderdale-Hollywood International","Delta Air Lines","Passenger Property Loss","Checked Baggage","Baggage/Cases/Purses",NA,"-"
2014022111885,2014-02-18,2013-06-14 00:00:00,"JFK","John F. Kennedy International","Delta Air Lines","Passenger Property Loss","Checked Baggage","Baggage/Cases/Purses",180.1,"Settle"
2014022111886,2014-02-18,2014-01-10 00:00:00,"RSW","Southwest Florida International","USAir","Passenger Property Loss","Checked Baggage","Clothing",NA,"-"
2014022111887,2014-02-21,2014-01-08 00:00:00,"RDU","Raleigh-Durham International","UAL","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming; Jewelry & Watches; Other",200,"Settle"
2014022111888,2014-02-19,2014-02-18 07:00:00,"PHX","Phoenix Sky Harbor International","Alaska Airlines","Passenger Property Loss","Checkpoint","Computer & Accessories",NA,"-"
2014022111889,2014-02-19,2012-12-13 18:45:00,"SAT","San Antonio International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Travel Accessories",0,"Deny"
2014022111890,2014-02-14,2014-02-06 15:30:00,"BNA","Nashville International","Southwest Airlines","Property Damage","Checkpoint","Clothing",55.3,"Settle"
2014022111891,2014-02-19,2014-02-09 00:00:00,"-","-","Lufthansa","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",NA,"-"
2014022111892,2014-02-18,2014-02-06 00:00:00,"BWI","Baltimore/Washington Intl Thurgood Marshall","Southwest Airlines","Property Damage","Checked Baggage","Other",0,"Deny"
2014022111893,2014-02-16,2014-02-13 10:30:00,"DFW","Dallas-Fort Worth International Airport","American Airlines","Passenger Property Loss","Checkpoint","Computer & Accessories",0,"Deny"
2014022111894,2014-02-19,2014-01-16 09:00:00,"DCA","Ronald Reagan Washington National Airport","USAir","Property Damage","Checkpoint","Clothing",0,"Deny"
2014022111895,2014-02-18,2013-12-14 00:00:00,"MIA","Miami International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Cameras; Cosmetics & Grooming",NA,"-"
2014022111896,2014-02-19,2013-07-09 07:55:00,"LAX","Los Angeles International Airport","American Airlines","Passenger Property Loss","Checkpoint","Jewelry & Watches",515,"Approve in Full"
2014022111897,2014-02-27,2013-06-16 00:00:00,"JFK","John F. Kennedy International","Carribean Airlines","Personal Injury","Checkpoint","Other",0,"Deny"
2014022111898,2014-02-18,2014-01-10 00:00:00,"MIA","Miami International Airport","-","Passenger Property Loss","Checked Baggage","Jewelry & Watches",NA,"-"
2014022111899,2014-02-19,2014-02-13 18:00:00,"HRL","Rio Grande Valley International","Sun Country Airlines Inc","Passenger Property Loss","Checkpoint","Jewelry & Watches",0,"Deny"
